campaign_id,pdate,cost
14318431803,2022-11-13,16.899740
18529088791,2022-11-28,3.430550
18725479090,2022-11-17,51.559127
18796908459,2022-11-07,18.530903
18529088791,2022-11-25,8.207117
18796908459,2022-11-06,19.899709
18529088791,2022-11-19,11.532551
14318431803,2022-11-21,17.087608
14883589082,2022-11-14,34.570000
18529088791,2022-11-20,19.295363
14883589082,2022-11-15,52.410000
14883589082,2022-11-28,26.620000
14318431803,2022-11-08,32.938299
18340470460,2022-11-18,3.308845
14318431803,2022-11-15,17.908290
18725479090,2022-11-04,34.232514
18340470460,2022-11-29,3.164302
18796908459,2022-11-21,14.134875
14318431803,2022-11-29,24.429650
18796908459,2022-11-19,17.094013
18340470460,2022-11-24,4.110529
18725479090,2022-11-26,48.236043
18796908459,2022-11-05,10.275015
15010179776,2022-11-07,95.610000
18796908459,2022-11-26,15.371149
18725479090,2022-11-30,53.085300
18340470460,2022-11-14,0.947654
18529088791,2022-11-23,5.229294
18340470460,2022-11-21,1.962081
17480926698,2022-11-06,8.640000
18796908459,2022-11-03,15.031330
14318431803,2022-11-06,34.762314
14883589082,2022-11-03,39.390000
14881642792,2022-11-12,0.400000
15010179776,2022-11-03,69.300000
14883589082,2022-11-09,32.330000
18725479090,2022-11-21,51.454773
14318431803,2022-11-30,33.577627
14883589082,2022-11-05,32.450000
18725479090,2022-11-05,69.930473
18869995641,2022-11-17,45.050000
15692110275,2022-11-12,12.519999
18529088791,2022-11-21,9.442400
15692110275,2022-11-03,16.940000
18340470460,2022-11-27,3.593734
18796908459,2022-11-14,16.415522
18529088791,2022-11-08,3.121526
18796908459,2022-11-02,15.395941
18529088791,2022-11-24,3.981027
14318431803,2022-11-07,31.738337
18529088791,2022-11-07,3.750548
18725479090,2022-11-27,25.175951
14318431803,2022-11-12,17.895950
18340470460,2022-11-08,0.738493
14318431803,2022-11-17,12.298422
18340470460,2022-11-06,0.486103
18796908459,2022-11-12,16.480888
15010179776,2022-11-08,89.680000
18529088791,2022-11-29,2.394446
18340470460,2022-11-11,0.560751
14318431803,2022-11-14,16.774527
14883589082,2022-11-21,23.600000
18796908459,2022-11-10,15.221104
18725479090,2022-11-08,87.541080
18529088791,2022-11-12,2.616056
18796908459,2022-11-23,15.442748
18725479090,2022-11-20,49.615598
14883589082,2022-11-23,18.120000
18869995641,2022-11-23,39.990000
14318431803,2022-11-03,31.238397
18725479090,2022-11-13,89.136844
18340470460,2022-11-05,0.532329
14318431803,2022-11-26,17.137394
18725479090,2022-11-14,54.584059
15010179776,2022-11-09,80.460000
14318431803,2022-11-22,17.071476
14318431803,2022-11-10,17.368803
14881642792,2022-11-14,0.410000
14883589082,2022-11-11,35.320000
18725479090,2022-11-06,111.394688
18796908459,2022-11-04,14.922096
18725479090,2022-11-15,54.468282
18340470460,2022-11-22,7.497792
18725479090,2022-11-22,48.169833
15692110281,2022-11-19,8.430000
18725479090,2022-11-28,25.292901
14883589082,2022-11-13,30.230000
14883589082,2022-11-20,32.520000
18340470460,2022-11-19,3.166986
18529088791,2022-11-15,4.216033
